20-08-06 20:39:41.363 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #9, CompleteCycleReuse, Deblock: 0 of 1 repeats, DispenseCommand, Dispense 185 uL of [VSM, 14] to port: I ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.364 -05	0414	TRC:	IX Tx (16002862): FLU {"IxType":"ix_pump_dispense","pump":"pump_side_a_2","volume_ul":185,"rate_ul_per_min":2000,"port":"ix_pump_port_input","ResponseType":"Illumina.Novaseq.IX.Flu.ix_pump_empty_rsp, Illumina.Novaseq.IX.Flu, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16002862} sent for gateway 5688722	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:39:41.796 -05	0305	TRC:	IX Rx (16002846): FIB {"IxType":"ix_lgm_status_rsp","IxID":16002846,"voa_percent":47500,"diode_current":74200,"interlock_state":true,"Exception":"ix_exception_id_success","Message":""} for gateway 31547926	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:39:41.797 -05	0386	INF:	=================== AnalyticsLogLgmLaserPowerCurrent ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.797 -05	0357	TRC:	IX Rx (16002848): FIB {"IxType":"ix_lgm_status_rsp","IxID":16002848,"voa_percent":25000,"diode_current":55600,"interlock_state":true,"Exception":"ix_exception_id_success","Message":""} for gateway 46797803	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:39:41.798 -05	0140	INF:	=================== AnalyticsLogLgmLaserPowerCurrent ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:41.798 -05	0386	TRC:	IX Tx (16002865): FIB {"IxType":"ix_lgm_power_get","laser":"ix_lgm_laser_red","ResponseType":"Illumina.Novaseq.IX.Fib_2.ix_lgm_power_rsp, Illumina.Novaseq.IX.Fib_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16002865} sent for gateway 31547926	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:39:41.799 -05	0140	TRC:	IX Tx (16002866): FIB {"IxType":"ix_lgm_power_get","laser":"ix_lgm_laser_green","ResponseType":"Illumina.Novaseq.IX.Fib_2.ix_lgm_power_rsp, Illumina.Novaseq.IX.Fib_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16002866} sent for gateway 46797803	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:39:41.995 -05	0338	TRC:	IX Rx (16002865): FIB {"IxType":"ix_lgm_power_rsp","IxID":16002865,"power_mw":711700,"Exception":"ix_exception_id_success","Message":""} for gateway 31547926	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:39:41.998 -05	0386	INF:	===================  ===================	-- LogBridge.cs,	Log,	31
